Category: All categories,
,
Day,ice cream: (United States)
1/1/2021,55
1/2/2021,63
1/3/2021,58
1/4/2021,47
1/5/2021,41
1/6/2021,41
1/7/2021,46
1/8/2021,51
1/9/2021,56
1/10/2021,60
1/11/2021,48
1/12/2021,51
1/13/2021,50
1/14/2021,49
1/15/2021,50
1/16/2021,73
1/17/2021,72
1/18/2021,59
1/19/2021,47
1/20/2021,48
1/21/2021,46
1/22/2021,48
1/23/2021,67
1/24/2021,66
1/25/2021,53
1/26/2021,53
1/27/2021,48
1/28/2021,47
1/29/2021,50
1/30/2021,61
1/31/2021,68
2/1/2021,54
2/2/2021,54
2/3/2021,53
2/4/2021,52
2/5/2021,52
2/6/2021,65
2/7/2021,70
2/8/2021,46
2/9/2021,49
2/10/2021,47
2/11/2021,51
2/12/2021,54
2/13/2021,65
2/14/2021,67
2/15/2021,62
2/16/2021,57
2/17/2021,49
2/18/2021,50
2/19/2021,49
2/20/2021,70
2/21/2021,67
2/22/2021,53
2/23/2021,48
2/24/2021,52
2/25/2021,56
2/26/2021,55
2/27/2021,71
2/28/2021,77
3/1/2021,54
3/2/2021,46
3/3/2021,56
3/4/2021,56
3/5/2021,59
3/6/2021,73
3/7/2021,82
3/8/2021,62
3/9/2021,61
3/10/2021,60
3/11/2021,63
3/12/2021,60
3/13/2021,78
3/14/2021,84
3/15/2021,55
3/16/2021,49
3/17/2021,54
3/18/2021,51
3/19/2021,64
3/20/2021,92
3/21/2021,100
3/22/2021,77
3/23/2021,70
3/24/2021,57
3/25/2021,58
3/26/2021,75
3/27/2021,96
3/28/2021,84
3/29/2021,66
3/30/2021,66
3/31/2021,67
4/1/2021,69
4/2/2021,46
4/3/2021,59
4/4/2021,58
4/5/2021,48
4/6/2021,46
4/7/2021,47
4/8/2021,50
4/9/2021,49
4/10/2021,63
4/11/2021,69
4/12/2021,48
4/13/2021,43
4/14/2021,48
4/15/2021,46
4/16/2021,47
4/17/2021,63
4/18/2021,73
4/19/2021,51
4/20/2021,44
4/21/2021,44
4/22/2021,48
4/23/2021,44
4/24/2021,70
4/25/2021,71
4/26/2021,54
4/27/2021,49
4/28/2021,49
4/29/2021,48
4/30/2021,49
5/1/2021,68
5/2/2021,77
5/3/2021,52
5/4/2021,49
5/5/2021,47
5/6/2021,45
5/7/2021,52
5/8/2021,64
5/9/2021,74
5/10/2021,50
5/11/2021,47
5/12/2021,46
5/13/2021,53
5/14/2021,58
5/15/2021,71
5/16/2021,80
5/17/2021,64
5/18/2021,51
5/19/2021,53
5/20/2021,59
5/21/2021,60
5/22/2021,81
5/23/2021,93
5/24/2021,59
5/25/2021,56
5/26/2021,57
5/27/2021,59
5/28/2021,60
5/29/2021,74
5/30/2021,81
5/31/2021,95
6/1/2021,57
6/2/2021,55
6/3/2021,56
6/4/2021,64
6/5/2021,76
6/6/2021,100
6/7/2021,65
6/8/2021,59
6/9/2021,60
6/10/2021,65
6/11/2021,69
6/12/2021,76
6/13/2021,92
6/14/2021,73
6/15/2021,62
6/16/2021,72
6/17/2021,66
6/18/2021,68
6/19/2021,92
6/20/2021,95
6/21/2021,66
6/22/2021,62
6/23/2021,67
6/24/2021,61
6/25/2021,65
6/26/2021,84
6/27/2021,90
6/28/2021,72
6/29/2021,71
6/30/2021,67
7/1/2021,70
7/2/2021,60
7/3/2021,68
7/4/2021,85
7/5/2021,76
7/6/2021,62
7/7/2021,49
7/8/2021,49
7/9/2021,54
7/10/2021,66
7/11/2021,70
7/12/2021,55
7/13/2021,54
7/14/2021,54
7/15/2021,59
7/16/2021,54
7/17/2021,71
7/18/2021,100
7/19/2021,68
7/20/2021,58
7/21/2021,55
7/22/2021,54
7/23/2021,59
7/24/2021,65
7/25/2021,70
7/26/2021,50
7/27/2021,54
7/28/2021,49
7/29/2021,55
7/30/2021,48
7/31/2021,64
8/1/2021,65
8/2/2021,55
8/3/2021,51
8/4/2021,46
8/5/2021,49
8/6/2021,49
8/7/2021,63
8/8/2021,69
8/9/2021,46
8/10/2021,43
8/11/2021,51
8/12/2021,48
8/13/2021,45
8/14/2021,57
8/15/2021,69
8/16/2021,46
8/17/2021,45
8/18/2021,43
8/19/2021,49
8/20/2021,47
8/21/2021,54
8/22/2021,67
8/23/2021,46
8/24/2021,43
8/25/2021,43
8/26/2021,39
8/27/2021,38
8/28/2021,53
8/29/2021,60
8/30/2021,39
8/31/2021,36
9/1/2021,32
9/2/2021,42
9/3/2021,41
9/4/2021,57
9/5/2021,60
9/6/2021,66
9/7/2021,36
9/8/2021,35
9/9/2021,35
9/10/2021,36
9/11/2021,49
9/12/2021,58
9/13/2021,34
9/14/2021,35
9/15/2021,31
9/16/2021,35
9/17/2021,38
9/18/2021,50
9/19/2021,50
9/20/2021,30
9/21/2021,32
9/22/2021,34
9/23/2021,35
9/24/2021,36
9/25/2021,42
9/26/2021,44
9/27/2021,33
9/28/2021,27
9/29/2021,32
9/30/2021,27
10/1/2021,30
10/2/2021,75
10/3/2021,74
10/4/2021,45
10/5/2021,67
10/6/2021,64
10/7/2021,67
10/8/2021,75
10/9/2021,94
10/10/2021,100
10/11/2021,80
10/12/2021,56
10/13/2021,63
10/14/2021,73
10/15/2021,74
10/16/2021,92
10/17/2021,95
10/18/2021,66
10/19/2021,60
10/20/2021,57
10/21/2021,60
10/22/2021,65
10/23/2021,81
10/24/2021,87
10/25/2021,61
10/26/2021,56
10/27/2021,55
10/28/2021,58
10/29/2021,58
10/30/2021,70
10/31/2021,71
11/1/2021,50
11/2/2021,49
11/3/2021,57
11/4/2021,61
11/5/2021,62
11/6/2021,81
11/7/2021,78
11/8/2021,61
11/9/2021,56
11/10/2021,64
11/11/2021,66
11/12/2021,66
11/13/2021,80
11/14/2021,87
11/15/2021,54
11/16/2021,55
11/17/2021,62
11/18/2021,54
11/19/2021,54
11/20/2021,77
11/21/2021,81
11/22/2021,60
11/23/2021,59
11/24/2021,64
11/25/2021,62
11/26/2021,64
11/27/2021,64
11/28/2021,72
11/29/2021,53
11/30/2021,51
12/1/2021,50
12/2/2021,51
12/3/2021,53
12/4/2021,68
12/5/2021,74
12/6/2021,52
12/7/2021,49
12/8/2021,43
12/9/2021,54
12/10/2021,50
12/11/2021,68
12/12/2021,79
12/13/2021,61
12/14/2021,56
12/15/2021,58
12/16/2021,58
12/17/2021,56
12/18/2021,74
12/19/2021,75
12/20/2021,59
